instance name, solver name, cutoff, objective value
sct1.mps, Local-MIP, 10, 202.270301
lr1dr12vc10v70b-t360.mps, HiGHS, 10, N/A
lr1dr12vc10v70b-t360.mps, SCIP, 10, N/A
lr1dr12vc10v70b-t360.mps, CPLEX, 10, 24497224.792
lr1dr12vc10v70b-t360.mps, Gurobi(comp), 10, 24611680.0
lr1dr12vc10v70b-t360.mps, Gurobi(heur), 10, 24611680.0
lr1dr12vc10v70b-t360.mps, Feasibility Jump, 10, N/A
lr1dr12vc10v70b-t360.mps, Local-MIP, 10, 25029044.075871
satellites4-25.mps, HiGHS, 10, N/A
satellites4-25.mps, SCIP, 10, N/A
satellites4-25.mps, CPLEX, 10, N/A
satellites4-25.mps, Gurobi(comp), 10, 80.0
satellites4-25.mps, Gurobi(heur), 10, 80.0
satellites4-25.mps, Feasibility Jump, 10, N/A
satellites4-25.mps, Local-MIP, 10, 49.0
supportcase3.mps, HiGHS, 10, N/A
supportcase3.mps, SCIP, 10, N/A
supportcase3.mps, CPLEX, 10, N/A
supportcase3.mps, Gurobi(comp), 10, N/A
supportcase3.mps, Gurobi(heur), 10, N/A
supportcase3.mps, Feasibility Jump, 10, N/A
supportcase3.mps, Local-MIP, 10, N/A
ns1849932.mps, HiGHS, 10, N/A
ns1849932.mps, SCIP, 10, N/A
ns1849932.mps, CPLEX, 10, 12864.0
ns1849932.mps, Gurobi(comp), 10, 12857.0
ns1849932.mps, Gurobi(heur), 10, 12857.0
ns1849932.mps, Feasibility Jump, 10, N/A
ns1849932.mps, Local-MIP, 10, N/A
neos-4295773-pissa.mps, HiGHS, 10, N/A
neos-4295773-pissa.mps, SCIP, 10, N/A
neos-4295773-pissa.mps, CPLEX, 10, N/A
neos-4295773-pissa.mps, Gurobi(comp), 10, N/A
neos-4295773-pissa.mps, Gurobi(heur), 10, N/A
neos-4295773-pissa.mps, Feasibility Jump, 10, 1e+19
neos-4295773-pissa.mps, Local-MIP, 10, 0.118542
seqsolve1.mps, HiGHS, 10, N/A
seqsolve1.mps, SCIP, 10, N/A
seqsolve1.mps, CPLEX, 10, 9934.0
seqsolve1.mps, Gurobi(comp), 10, 9823.0
seqsolve1.mps, Gurobi(heur), 10, 9823.0
seqsolve1.mps, Feasibility Jump, 10, 9934.0
seqsolve1.mps, Local-MIP, 10, 8736.0
eva1aprime6x6opt.mps, HiGHS, 10, N/A
eva1aprime6x6opt.mps, SCIP, 10, 6.0
eva1aprime6x6opt.mps, CPLEX, 10, N/A
eva1aprime6x6opt.mps, Gurobi(comp), 10, N/A
eva1aprime6x6opt.mps, Gurobi(heur), 10, N/A
eva1aprime6x6opt.mps, Feasibility Jump, 10, N/A
eva1aprime6x6opt.mps, Local-MIP, 10, N/A
supportcase19.mps, HiGHS, 10, N/A
supportcase19.mps, SCIP, 10, N/A
supportcase19.mps, CPLEX, 10, N/A
supportcase19.mps, Gurobi(comp), 10, N/A
supportcase19.mps, Gurobi(heur), 10, N/A
supportcase19.mps, Feasibility Jump, 10, N/A
supportcase19.mps, Local-MIP, 10, N/A
genus-g61-25.mps, HiGHS, 10, N/A
genus-g61-25.mps, SCIP, 10, N/A
genus-g61-25.mps, CPLEX, 10, N/A
genus-g61-25.mps, Gurobi(comp), 10, -6.0
genus-g61-25.mps, Gurobi(heur), 10, -6.0
genus-g61-25.mps, Feasibility Jump, 10, 0.0
genus-g61-25.mps, Local-MIP, 10, -22.0
mining.mps, HiGHS, 10, N/A
mining.mps, SCIP, 10, N/A
mining.mps, CPLEX, 10, 948653737.39
mining.mps, Gurobi(comp), 10, 902863400.0
mining.mps, Gurobi(heur), 10, 902863400.0
mining.mps, Feasibility Jump, 10, 948653737.393142
mining.mps, Local-MIP, 10, 918926071.733011
neos-1423785.mps, HiGHS, 10, 654598.66728
neos-1423785.mps, SCIP, 10, 5209501.0
neos-1423785.mps, CPLEX, 10, 22575.333343
neos-1423785.mps, Gurobi(comp), 10, 22799.333344
neos-1423785.mps, Gurobi(heur), 10, 104502.03326
neos-1423785.mps, Feasibility Jump, 10, N/A
neos-1423785.mps, Local-MIP, 10, N/A
rwth-timetable.mps, HiGHS, 10, N/A
rwth-timetable.mps, SCIP, 10, N/A
rwth-timetable.mps, CPLEX, 10, 24967487.0
rwth-timetable.mps, Gurobi(comp), 10, 29160070.0
rwth-timetable.mps, Gurobi(heur), 10, 29160070.0
rwth-timetable.mps, Feasibility Jump, 10, N/A
rwth-timetable.mps, Local-MIP, 10, N/A
rocII-10-11.mps, HiGHS, 10, N/A
rocII-10-11.mps, SCIP, 10, N/A
rocII-10-11.mps, CPLEX, 10, N/A
rocII-10-11.mps, Gurobi(comp), 10, N/A
rocII-10-11.mps, Gurobi(heur), 10, N/A
rocII-10-11.mps, Feasibility Jump, 10, N/A
rocII-10-11.mps, Local-MIP, 10, N/A
fastxgemm-n3r21s3t6.mps, HiGHS, 10, N/A
fastxgemm-n3r21s3t6.mps, SCIP, 10, N/A
fastxgemm-n3r21s3t6.mps, CPLEX, 10, 70567.483
fastxgemm-n3r21s3t6.mps, Gurobi(comp), 10, 358093.0
fastxgemm-n3r21s3t6.mps, Gurobi(heur), 10, 358093.0
fastxgemm-n3r21s3t6.mps, Feasibility Jump, 10, N/A
fastxgemm-n3r21s3t6.mps, Local-MIP, 10, 82120.001
neos-3530905-gaula.mps, HiGHS, 10, 161.0
neos-3530905-gaula.mps, SCIP, 10, 168.0
neos-3530905-gaula.mps, CPLEX, 10, 159.0
neos-3530905-gaula.mps, Gurobi(comp), 10, 159.0
neos-3530905-gaula.mps, Gurobi(heur), 10, 159.0
neos-3530905-gaula.mps, Feasibility Jump, 10, 185.0
neos-3530905-gaula.mps, Local-MIP, 10, 165.0
cmflsp40-24-10-7.mps, HiGHS, 10, N/A
cmflsp40-24-10-7.mps, SCIP, 10, N/A
cmflsp40-24-10-7.mps, CPLEX, 10, N/A
cmflsp40-24-10-7.mps, Gurobi(comp), 10, N/A
cmflsp40-24-10-7.mps, Gurobi(heur), 10, N/A
cmflsp40-24-10-7.mps, Feasibility Jump, 10, N/A
cmflsp40-24-10-7.mps, Local-MIP, 10, N/A
snp-06-004-052.mps, HiGHS, 10, N/A
snp-06-004-052.mps, SCIP, 10, N/A
snp-06-004-052.mps, CPLEX, 10, 13937606601.0
snp-06-004-052.mps, Gurobi(comp), 10, 13937610000.0
snp-06-004-052.mps, Gurobi(heur), 10, 13937610000.0
snp-06-004-052.mps, Feasibility Jump, 10, 4.872e+28
snp-06-004-052.mps, Local-MIP, 10, N/A
neos-5076235-embley.mps, HiGHS, 10, 3440.0
neos-5076235-embley.mps, SCIP, 10, 2770.0
neos-5076235-embley.mps, CPLEX, 10, 2502.0
neos-5076235-embley.mps, Gurobi(comp), 10, 2438.0
neos-5076235-embley.mps, Gurobi(heur), 10, 2432.0
neos-5076235-embley.mps, Feasibility Jump, 10, N/A
neos-5076235-embley.mps, Local-MIP, 10, 17691.9986
gasprod1-1.mps, HiGHS, 10, 296.4721492
gasprod1-1.mps, SCIP, 10, N/A
gasprod1-1.mps, CPLEX, 10, 294.68624439
gasprod1-1.mps, Gurobi(comp), 10, 291.9638984
gasprod1-1.mps, Gurobi(heur), 10, 291.9623975
gasprod1-1.mps, Feasibility Jump, 10, N/A
gasprod1-1.mps, Local-MIP, 10, N/A
s100.mps, HiGHS, 10, N/A
s100.mps, SCIP, 10, N/A
s100.mps, CPLEX, 10, N/A
s100.mps, Gurobi(comp), 10, -0.0394471
s100.mps, Gurobi(heur), 10, -0.0394471
s100.mps, Feasibility Jump, 10, N/A
s100.mps, Local-MIP, 10, -0.139492
neos-5196530-nuhaka.mps, HiGHS, 10, N/A
neos-5196530-nuhaka.mps, SCIP, 10, N/A
neos-5196530-nuhaka.mps, CPLEX, 10, N/A
neos-5196530-nuhaka.mps, Gurobi(comp), 10, N/A
neos-5196530-nuhaka.mps, Gurobi(heur), 10, N/A
neos-5196530-nuhaka.mps, Feasibility Jump, 10, N/A
neos-5196530-nuhaka.mps, Local-MIP, 10, 0.041856
snp-04-052-052.mps, HiGHS, 10, N/A
snp-04-052-052.mps, SCIP, 10, N/A
snp-04-052-052.mps, CPLEX, 10, 8704201277.8
snp-04-052-052.mps, Gurobi(comp), 10, 8704201000.0
snp-04-052-052.mps, Gurobi(heur), 10, 8704201000.0
snp-04-052-052.mps, Feasibility Jump, 10, 3.3e+28
snp-04-052-052.mps, Local-MIP, 10, 8704201277.8288
n3707.mps, HiGHS, 10, 1301218.0
n3707.mps, SCIP, 10, 1301218.0
n3707.mps, CPLEX, 10, 1291262.0
n3707.mps, Gurobi(comp), 10, 1272012.0
n3707.mps, Gurobi(heur), 10, 1258858.0
n3707.mps, Feasibility Jump, 10, N/A
n3707.mps, Local-MIP, 10, 2630265.0
gsvm2rl12.mps, HiGHS, 10, 49.99999999
gsvm2rl12.mps, SCIP, 10, 50.0
gsvm2rl12.mps, CPLEX, 10, 47.693884005
gsvm2rl12.mps, Gurobi(comp), 10, 43.4880803
gsvm2rl12.mps, Gurobi(heur), 10, 22.8948705
gsvm2rl12.mps, Feasibility Jump, 10, N/A
gsvm2rl12.mps, Local-MIP, 10, N/A
siena1.mps, HiGHS, 10, N/A
siena1.mps, SCIP, 10, N/A
siena1.mps, CPLEX, 10, 560995341.87
siena1.mps, Gurobi(comp), 10, 1007159000.0
siena1.mps, Gurobi(heur), 10, 1007159000.0
siena1.mps, Feasibility Jump, 10, N/A
siena1.mps, Local-MIP, 10, 560433719.526
tw-myciel4.mps, HiGHS, 10, 10.0
tw-myciel4.mps, SCIP, 10, 11.0
tw-myciel4.mps, CPLEX, 10, 16.0
tw-myciel4.mps, Gurobi(comp), 10, 10.0
tw-myciel4.mps, Gurobi(heur), 10, 10.0
tw-myciel4.mps, Feasibility Jump, 10, 0.0
tw-myciel4.mps, Local-MIP, 10, 10.0
supportcase41.mps, HiGHS, 10, N/A
supportcase41.mps, SCIP, 10, N/A
supportcase41.mps, CPLEX, 10, N/A
supportcase41.mps, Gurobi(comp), 10, N/A
supportcase41.mps, Gurobi(heur), 10, N/A
supportcase41.mps, Feasibility Jump, 10, N/A
supportcase41.mps, Local-MIP, 10, N/A
fhnw-schedule-paira200.mps, HiGHS, 10, N/A
fhnw-schedule-paira200.mps, SCIP, 10, -0.3572488
fhnw-schedule-paira200.mps, CPLEX, 10, 0.0
fhnw-schedule-paira200.mps, Gurobi(comp), 10, N/A
fhnw-schedule-paira200.mps, Gurobi(heur), 10, N/A
fhnw-schedule-paira200.mps, Feasibility Jump, 10, N/A
fhnw-schedule-paira200.mps, Local-MIP, 10, N/A
gfd-schedulen180f7d50m30k18.mps, HiGHS, 10, N/A
gfd-schedulen180f7d50m30k18.mps, SCIP, 10, N/A
gfd-schedulen180f7d50m30k18.mps, CPLEX, 10, N/A
gfd-schedulen180f7d50m30k18.mps, Gurobi(comp), 10, N/A
gfd-schedulen180f7d50m30k18.mps, Gurobi(heur), 10, N/A
gfd-schedulen180f7d50m30k18.mps, Feasibility Jump, 10, N/A
gfd-schedulen180f7d50m30k18.mps, Local-MIP, 10, N/A
nucorsav.mps, HiGHS, 10, N/A
nucorsav.mps, SCIP, 10, N/A
nucorsav.mps, CPLEX, 10, N/A
nucorsav.mps, Gurobi(comp), 10, N/A
nucorsav.mps, Gurobi(heur), 10, N/A
nucorsav.mps, Feasibility Jump, 10, N/A
nucorsav.mps, Local-MIP, 10, N/A
proteindesign121hz512p9.mps, HiGHS, 10, N/A
proteindesign121hz512p9.mps, SCIP, 10, N/A
proteindesign121hz512p9.mps, CPLEX, 10, 1509.0
proteindesign121hz512p9.mps, Gurobi(comp), 10, 1509.0
proteindesign121hz512p9.mps, Gurobi(heur), 10, 1509.0
proteindesign121hz512p9.mps, Feasibility Jump, 10, N/A
proteindesign121hz512p9.mps, Local-MIP, 10, N/A
proteindesign121hz512p19.mps, HiGHS, 10, N/A
proteindesign121hz512p19.mps, SCIP, 10, N/A
proteindesign121hz512p19.mps, CPLEX, 10, N/A
proteindesign121hz512p19.mps, Gurobi(comp), 10, N/A
